ltl ltl_0: [] ((! (((statusA==1)) && ((statusB==1)))) || (((partnerA==agentB)) && ((partnerB==agentA))))
starting claim 3
Never claim moves to line 4	[(1)]
  2:	proc  2 (Intruder:1) needham-starter.txt:139 (state 16)	[tag = msg1]
		Intruder(3):intercepted.key = 0
		Intruder(3):intercepted.content1 = 0
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = 0
		Intruder(3):data.content1 = 0
		Intruder(3):data.content2 = 0
		Intruder(2):tag = msg1
  4:	proc  2 (Intruder:1) needham-starter.txt:145 (state 22)	[recpt = agentB]
		Intruder(3):intercepted.key = 0
		Intruder(3):intercepted.content1 = 0
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = 0
		Intruder(3):data.content1 = 0
		Intruder(3):data.content2 = 0
		Intruder(2):recpt = agentB
  6:	proc  2 (Intruder:1) needham-starter.txt:151 (state 30)	[data.key = keyB]
		Intruder(3):intercepted.key = 0
		Intruder(3):intercepted.content1 = 0
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyB
		Intruder(3):data.content1 = 0
		Intruder(3):data.content2 = 0
  8:	proc  2 (Intruder:1) needham-starter.txt:154 (state 33)	[data.content1 = agentA]
		Intruder(3):intercepted.key = 0
		Intruder(3):intercepted.content1 = 0
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyB
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = 0
 10:	proc  2 (Intruder:1) needham-starter.txt:164 (state 47)	[data.content2 = nonceI]
		Intruder(3):intercepted.key = 0
		Intruder(3):intercepted.content1 = 0
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyB
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceI
 12:	proc  1 (Bob:1) needham-starter.txt:84 (state 3)	[partnerB = agentI]
		partnerB = agentI
		Bob(2):data.key = 0
		Bob(2):data.content1 = 0
		Bob(2):data.content2 = 0
		Bob(2):message.key = 0
		Bob(2):message.content1 = 0
		Bob(2):message.content2 = 0
 14:	proc  1 (Bob:1) needham-starter.txt:84 (state 4)	[pkey = keyI]
		Bob(2):data.key = 0
		Bob(2):data.content1 = 0
		Bob(2):data.content2 = 0
		Bob(2):message.key = 0
		Bob(2):message.content1 = 0
		Bob(2):message.content2 = 0
		Bob(1):pkey = keyI
 16:	proc  2 (Intruder:1) needham-starter.txt:168 (state 52)	[network!tag,recpt,data.key,data.content1,data.content2]
		Intruder(3):intercepted.key = 0
		Intruder(3):intercepted.content1 = 0
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyB
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceI
 17:	proc  1 (Bob:1) needham-starter.txt:88 (state 7)	[network?msg1,agentB,data.key,data.content1,data.content2]
		Bob(2):data.key = keyB
		Bob(2):data.content1 = agentA
		Bob(2):data.content2 = nonceI
		Bob(2):message.key = 0
		Bob(2):message.content1 = 0
		Bob(2):message.content2 = 0
 19:	proc  1 (Bob:1) needham-starter.txt:91 (state 8)	[((data.key==keyB))]
		Bob(2):data.key = keyB
		Bob(2):data.content1 = agentA
		Bob(2):data.content2 = nonceI
		Bob(2):message.key = 0
		Bob(2):message.content1 = 0
		Bob(2):message.content2 = 0
 19:	proc  1 (Bob:1) needham-starter.txt:92 (state 9)	[pnonce = data.content2]
		Bob(2):data.key = keyB
		Bob(2):data.content1 = agentA
		Bob(2):data.content2 = nonceI
		Bob(2):message.key = 0
		Bob(2):message.content1 = 0
		Bob(2):message.content2 = 0
		Bob(1):pnonce = nonceI
 21:	proc  1 (Bob:1) needham-starter.txt:22 (state 10)	[message.key = pkey]
		Bob(2):data.key = keyB
		Bob(2):data.content1 = agentA
		Bob(2):data.content2 = nonceI
		Bob(2):message.key = keyI
		Bob(2):message.content1 = 0
		Bob(2):message.content2 = 0
 21:	proc  1 (Bob:1) needham-starter.txt:23 (state 11)	[message.content1 = pnonce]
		Bob(2):data.key = keyB
		Bob(2):data.content1 = agentA
		Bob(2):data.content2 = nonceI
		Bob(2):message.key = keyI
		Bob(2):message.content1 = nonceI
		Bob(2):message.content2 = 0
 21:	proc  1 (Bob:1) needham-starter.txt:24 (state 12)	[message.content2 = 2]
		Bob(2):data.key = keyB
		Bob(2):data.content1 = agentA
		Bob(2):data.content2 = nonceI
		Bob(2):message.key = keyI
		Bob(2):message.content1 = nonceI
		Bob(2):message.content2 = nonceB
 23:	proc  1 (Bob:1) needham-starter.txt:96 (state 14)	[network!msg2,partnerB,message.key,message.content1,message.content2]
		Bob(2):data.key = keyB
		Bob(2):data.content1 = agentA
		Bob(2):data.content2 = nonceI
		Bob(2):message.key = keyI
		Bob(2):message.content1 = nonceI
		Bob(2):message.content2 = nonceB
 24:	proc  2 (Intruder:1) needham-starter.txt:122 (state 1)	[network?tag,_,data.key,data.content1,data.content2]
		Intruder(3):intercepted.key = 0
		Intruder(3):intercepted.content1 = 0
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceI
		Intruder(3):data.content2 = nonceB
		Intruder(2):tag = msg2
 26:	proc  2 (Intruder:1) needham-starter.txt:111 (state 2)	[intercepted.key = data.key]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = 0
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceI
		Intruder(3):data.content2 = nonceB
 26:	proc  2 (Intruder:1) needham-starter.txt:112 (state 3)	[intercepted.content1 = data.content1]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceI
		Intruder(3):data.content2 = nonceB
 26:	proc  2 (Intruder:1) needham-starter.txt:113 (state 4)	[intercepted.content2 = data.content2]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceI
		Intruder(3):data.content2 = nonceB
 28:	proc  2 (Intruder:1) needham-starter.txt:128 (state 9)	[((data.key==keyI))]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceI
		Intruder(3):data.content2 = nonceB
 30:	proc  2 (Intruder:1) needham-starter.txt:129 (state 10)	[knows_nonceA = ((knows_nonceA||(data.content1==nonceA))||(data.content2==nonceA))]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceI
		Intruder(3):data.content2 = nonceB
